company,city,latitude,longitude
Digg,San Francisco,37.764726,-122.394523
Powerset,San Francisco,37.778613,-122.395289
CastTV,San Francisco,37.780716,-122.393913
Grockit,San Francisco,37.775196,-122.419204
Wikia,San Francisco,,
Dropbox,San Francisco,37.7909427,-122.4084994
Gilt Groupe,New York,40.74727,-73.9800645
cScape,London,51.523676,-0.107843
ProofHQ,London,51.5320478,-0.011154
Phreesia,New York,40.739794,-73.985878
99designs,San Francisco,37.7955307,-122.4005983
Sososher,London,51.500152,-0.126236
PixelCrayons,New York,28.682042,77.087502
Cutcaster,San Francisco,37.79851,-122.457454
New York Designs,New York,40.743264,-73.923427
TuneUp,San Francisco,37.7654195,-122.4119381
Knewton,New York,40.7310476,-74.0078134
appssavvy,New York,40.724604,-73.996876
Ammunition Group,San Francisco,,
Medialets,New York,40.756054,-73.986951
Minted,San Francisco,37.797435,-122.403175
StyleCard,New York,40.738137,-74.0058
The Tin,London,51.52129,-0.10978
Albion,London,,
Squiz UK,London,51.521603,-0.083444
Ecolect,San Francisco,37.776769,-122.410111
ReTel Technologies,San Francisco,41.78942,-87.596232
Foodzie,San Francisco,40.0173513,-105.2773493
Shattered Reality Interactive,San Francisco,37.783046,-122.394067
Fitbit,San Francisco,,
AdRocket,San Francisco,37.775196,-122.419204
Yammer,San Francisco,37.776246,-122.4179223
GoodGuide,San Francisco,37.7983181,-122.4000032
Milobox,San Francisco,37.792979,-122.421242
Ecolect,San Francisco,37.776769,-122.410111
ReTel Technologies,San Francisco,41.78942,-87.596232
Foodzie,San Francisco,40.0173513,-105.2773493
Shattered Reality Interactive,San Francisco,37.783046,-122.394067
Fitbit,San Francisco,,
AdRocket,San Francisco,37.775196,-122.419204
Yammer,San Francisco,37.776246,-122.4179223
GoodGuide,San Francisco,37.7983181,-122.4000032
Milobox,San Francisco,37.792979,-122.421242
FUSE,London,,
Box UK,London,51.5107737,-0.1392447
Fabian Rossano Studio,New York,40.740371,-74.004777
Squarespace,New York,,
WePC,San Francisco,,
Movirtu,London,51.5499708,-0.1815999
LoopNet,San Francisco,37.7759421,-122.3931139
Which Web Design Company,London,51.5001524,-0.1262362
Novalsys,New York,40.7283696,-73.9923918
FK3,London,,
SecondMarket,New York,40.705439,-74.012822
Make It Rain,London,51.4626,-0.139082
Eastmedia,New York,40.752409,-73.988676
SoftFacade,New York,,
Rhxo Technology Group,New York,40.762897,-73.974714
Granicus,San Francisco,37.787445,-122.397847
MindSmack,New York,40.758492,-73.989987
Hirshorn Zuckerman Design Group,New York,40.756054,-73.986951
quietrevolution,London,,
Masterpiece,London,51.5219131,-0.0833747
Idea Couture,San Francisco,,
Boring,London,51.5183725,-0.0740678
Bamboudesign,San Francisco,37.775087,-122.415199
Red Engineering Design,London,51.5234209,-0.1398614
Recyclebank,New York,40.7310476,-74.0078134
DoubleVerify,New York,40.6454932,-73.9451011
ACT Biotech,San Francisco,37.7871306,-122.4041075
Covet Shop,New York,40.72874,-73.989324
Synesis IT,New York,40.748873,-73.987106
Ramp Up Tech,New York,40.746514,-73.993035
OpTier,New York,40.754937,-73.985647
Mobile Interactive Group,London,,
New Toy,London,,
