,name,location,place,coordinates,latitude,longitude
0,Starbucks,"{'type': 'Point', 'coordinates': [-0.139154, 51.510288]}",starbucks,"[51.510288, -0.139154]",51.510288,-0.139154
1,The Cuckoo Club,"{'type': 'Point', 'coordinates': [-0.1377707164, 51.5099619985]}",party,"[51.5099619985, -0.1377707164]",51.5099619985,-0.1377707164
2,Tramp,"{'type': 'Point', 'coordinates': [-0.1378355488, 51.5083318933]}",party,"[51.5083318933, -0.1378355488]",51.5083318933,-0.1378355488
3,Malvern House Picadilly Centre,"{'type': 'Point', 'coordinates': [-0.1343707833, 51.5101933333]}",school,"[51.5101933333, -0.1343707833]",51.5101933333,-0.1343707833
4,Starbucks,"{'type': 'Point', 'coordinates': [-0.139378, 51.513952]}",starbucks,"[51.513952, -0.139378]",51.513952,-0.139378
5,Archer Street,"{'type': 'Point', 'coordinates': [-0.1340312078, 51.5115291098]}",party,"[51.5115291098, -0.1340312078]",51.5115291098,-0.1340312078
6,Starbucks,"{'type': 'Point', 'coordinates': [-0.144199, 51.508831]}",starbucks,"[51.508831, -0.144199]",51.508831,-0.144199
7,Starbucks,"{'type': 'Point', 'coordinates': [-0.142527, 51.507442]}",starbucks,"[51.507442, -0.142527]",51.507442,-0.142527
8,Starbucks,"{'type': 'Point', 'coordinates': [-0.133353, 51.512712]}",starbucks,"[51.512712, -0.133353]",51.512712,-0.133353
9,Starbucks,"{'type': 'Point', 'coordinates': [-0.137546, 51.514836]}",starbucks,"[51.514836, -0.137546]",51.514836,-0.137546
10,O'Neill's,"{'type': 'Point', 'coordinates': [-0.1320633561, 51.5113745491]}",party,"[51.5113745491, -0.1320633561]",51.5113745491,-0.1320633561
11,Yorica,"{'type': 'Point', 'coordinates': [-0.1346333469, 51.5142728089]}",vegan,"[51.5142728089, -0.1346333469]",51.5142728089,-0.1346333469
12,Café de Paris,"{'type': 'Point', 'coordinates': [-0.1318825522, 51.5104281655]}",party,"[51.5104281655, -0.1318825522]",51.5104281655,-0.1318825522
13,Woodlands Restaurant,"{'type': 'Point', 'coordinates': [-0.1317816815, 51.5096005476]}",vegan,"[51.5096005476, -0.1317816815]",51.5096005476,-0.1317816815
14,Maoz,"{'type': 'Point', 'coordinates': [-0.1321998474, 51.5128611462]}",vegan,"[51.5128611462, -0.1321998474]",51.5128611462,-0.1321998474
15,Duck Soup,"{'type': 'Point', 'coordinates': [-0.1322889901, 51.5132937068]}",party,"[51.5132937068, -0.1322889901]",51.5132937068,-0.1322889901
16,Starbucks,"{'type': 'Point', 'coordinates': [-0.135287, 51.515295]}",starbucks,"[51.515295, -0.135287]",51.515295,-0.135287
17,Ronnie Scott's Jazz Club,"{'type': 'Point', 'coordinates': [-0.1316476095, 51.5134164522]}",party,"[51.5134164522, -0.1316476095]",51.5134164522,-0.1316476095
18,Bar Italia,"{'type': 'Point', 'coordinates': [-0.1313335513, 51.5133936601]}",party,"[51.5133936601, -0.1313335513]",51.5133936601,-0.1313335513
19,The Arts Theatre Club,"{'type': 'Point', 'coordinates': [-0.131543775, 51.5136745222]}",party,"[51.5136745222, -0.131543775]",51.5136745222,-0.131543775
20,Oxford House College,"{'type': 'Point', 'coordinates': [-0.1345213954, 51.5157245395]}",school,"[51.5157245395, -0.1345213954]",51.5157245395,-0.1345213954
21,Starbucks,"{'type': 'Point', 'coordinates': [-0.143846, 51.516107]}",starbucks,"[51.516107, -0.143846]",51.516107,-0.143846
22,Mayfair School of English,"{'type': 'Point', 'coordinates': [-0.1345473512, 51.5160816428]}",school,"[51.5160816428, -0.1345473512]",51.5160816428,-0.1345473512
